Course Title,Course Description,Course Author,Course Author Occupation,Course URL
Convolutional Neural Networks for Image Processing,Convolutional neural networks are deep learning algorithms that are particularly powerful for analysis of images.,Ariel Rokem,"Senior Data Scientist, University of Washington",https://www.datacamp.com/courses/convolutional-neural-networks-for-image-processing
Analyzing Social Media Data in Python,"In this course, you'll learn how to collect Twitter data and analyze Twitter text, networks, and geographical origin.",Alex Hanna,Computational Social Scientist,https://www.datacamp.com/courses/analyzing-social-media-data-in-python
Building Dashboards with flexdashboard,In this course you'll learn how to create static and interactive dashboards using flexdashboard and shiny.,Elaine McVey,"Director of Quantitative Mobility, TransLoc",https://www.datacamp.com/courses/building-dashboards-with-flexdashboard
Communicating with Data in the Tidyverse,Leverage the power of tidyverse tools to create publication-quality graphics and custom-styled reports that communica...,Timo Grossenbacher,Data Journalist at SRF Data,https://www.datacamp.com/courses/communicating-with-data-in-the-tidyverse
ChIP-seq Workflows in R,Learn how to analyse and interpret ChIP-seq data with the help of Bioconductor using a human cancer dataset.,Peter Humburg,Statistician,https://www.datacamp.com/courses/chip-seq-workflows-in-r
Joining Data in R with data.table,This course will show you how to combine and merge datasets with data.table.,Scott Ritchie,Postdoctoral Researcher in Systems Genomics,https://www.datacamp.com/courses/joining-data-in-r-with-datatable
Foundations of Functional Programming with purrr,Learn to easily summarize and manipulate lists using the purrr package.,Auriel Fournier,Postdoc at Mississippi State University,https://www.datacamp.com/courses/foundations-of-functional-programming-with-purrr
Visualization Best Practices in R,"Learn to effectively convey your data with an overview of common charts, alternative visualization types, and percep...",Nick Strayer,"PhD Candidate, Biostatistics; Vanderbilt University",https://www.datacamp.com/courses/visualization-best-practices-in-r
Building Dashboards with shinydashboard,In this course you'll learn to build dashboards using the shinydashboard package.,Lucy D’Agostino McGowan,"Postdoctoral fellow, Johns Hopkins Department of Biostatistics",https://www.datacamp.com/courses/building-dashboards-with-shinydashboard
Modeling with Data in the Tidyverse,Explore Linear Regression in a tidy framework.,Albert Y. Kim,Assistant Professor of Statistical & Data Sciences at Smith Co...,https://www.datacamp.com/courses/modeling-with-data-in-the-tidyverse
Human Resources Analytics in R: Exploring Employee Data,"Manipulate, visualize, and perform statistical tests on HR data.",Ben Teusch,HR Analytics Consultant at Capital Group,https://www.datacamp.com/courses/human-resources-analytics-in-r-exploring-employee-data
Business Process Analytics in R,Learn how to analyze business processes in R and extract actionable insights from enormous sets of event data.,Gert Janssenswillen,Author of bupaR package,https://www.datacamp.com/courses/business-process-analytics-in-r
Working with Data in the Tidyverse,"Learn to work with data using tools from the tidyverse, and master the important skills of taming and tidying your data.",Alison Hill,Professor and Data Scientist,https://www.datacamp.com/courses/working-with-data-in-the-tidyverse
Supervised Learning in R: Case Studies,Apply your supervised machine learning skills by working through four case studies using data from the real world.,Julia Silge,Data Scientist at Stack Overflow,https://www.datacamp.com/courses/supervised-learning-in-r-case-studies
Forecasting Product Demand in R,"Learn how to identify important drivers of demand, look at seasonal effects, and predict demand for a hierarchy of pr...",Aric LaBarr,Director and Senior Scientist at Elder Research,https://www.datacamp.com/courses/forecasting-product-demand-in-r
Marketing Analytics in R: Statistical Modeling,In this course you'll learn how to use data science for several common marketing tasks.,Verena Pflieger,Data Scientist at INWT Statistics,https://www.datacamp.com/courses/marketing-analytics-in-r-statistical-modeling
Network Analysis in R: Case Studies,Apply fundamental concepts in network analysis to large real-world datasets in 4 different case studies.,Ted Hart,Senior Data Scientist,https://www.datacamp.com/courses/network-analysis-in-r-case-studies
Hierarchical and Mixed Effects Models,In this course you will learn to fit hierarchical models with random effects.,Richard Erickson,Quantitative Ecologist,https://www.datacamp.com/courses/hierarchical-and-mixed-effects-models
Parallel Programming in R,This course covers in detail the tools available in R for parallel computing.,hanas@uw.edu hanas@uw.edu,"Senior Research Scientist, University of Washington",https://www.datacamp.com/courses/parallel-programming-in-r
Introduction to Bioconductor,"Learn to use essential bioconductor packages using datasets from virus, fungus, human and plants!",Paula Martinez,Data Scientist,https://www.datacamp.com/courses/introduction-to-bioconductor
Human Resources Analytics in R: Predicting Employee ...,Predict employee turnover and design retention strategies.,Anurag Gupta,People Analytics Practitioner,https://www.datacamp.com/courses/human-resources-analytics-in-r-predicting-employee-churn
Data Privacy and Anonymization in R,Publicly release data sets with a differential privacy guarantee.,Claire Bowen,Postdoctoral Researcher at the Los Alamos National Laboratory,https://www.datacamp.com/courses/data-privacy-and-anonymization-in-r
Nonlinear Modeling in R with GAMs,GAMs model relationships in data as nonlinear functions that are highly adaptable to different types of data science ...,Noam Ross,Senior Research Scientist at EcoHealth Alliance,https://www.datacamp.com/courses/nonlinear-modeling-in-r-with-gams
Bayesian Modeling with RJAGS,"In this course, you'll learn how to implement more advanced Bayesian models using RJAGS.",Alicia Johnson,"Associate Professor, Macalester College",https://www.datacamp.com/courses/bayesian-modeling-with-rjags
Structural Equation Modeling with lavaan in R,Learn how to create and assess measurement models used to confirm the structure of a scale or questionnaire.,Erin Buchanan,Associate Professor of Psychology at Missouri State University,https://www.datacamp.com/courses/structural-equation-modeling-with-lavaan-in-r
Differential Expression Analysis in R with limma,Learn to use the Bioconductor package limma for differential gene expression analysis.,John Blischak,Postdoctoral Scholar at University of Chicago,https://www.datacamp.com/courses/differential-expression-analysis-in-r-with-limma
Factor Analysis in R,"Explore latent variables, such as personality using exploratory and confirmatory factor analyses.",Jennifer Brussow,Psychometrician at Ascend Learning,https://www.datacamp.com/courses/factor-analysis-in-r
Marketing Analytics in R: Choice Modeling,Learn to analyze and model customer choice data in R.,Elea McDonnell Feit,Assistant Professor of Marketing at Drexel University,https://www.datacamp.com/courses/marketing-analytics-in-r-choice-modeling
Categorical Data in the Tidyverse,"Get ready to categorize! In this course you will with non-numerical data , such as job titles or survey responses, us...",Emily Robinson,Data Scientist at DataCamp,https://www.datacamp.com/courses/categorical-data-in-the-tidyverse
Multivariate Probability Distributions in R,"Learn to analyze, plot, and model multivariate data.",Surajit Ray,"Senior Lecturer in Statistics, University of Glasgow",https://www.datacamp.com/courses/multivariate-probability-distributions-in-r
Experimental Design in R,"In this course you'll learn about basic experimental design, a crucial part of any data analysis.",kaelen medeiros,Content Quality Analyst at DataCamp,https://www.datacamp.com/courses/experimental-design-in-r
Bayesian Regression Modeling with rstanarm,Learn how to leverage Bayesian estimation methods to make better inferences about linear regression models.,Jake Thompson,"Psychometrician, ATLAS, University of Kansas",https://www.datacamp.com/courses/bayesian-regression-modeling-with-rstanarm
Analyzing Survey Data in R,Learn survey design using common design structures followed by visualizing and analyzing survey results.,Kelly McConville,Assistant Professor of Statistics at Reed College,https://www.datacamp.com/courses/analyzing-survey-data-in-r
Mixture Models in R,Learn mixture models: a convenient and formal statistical framework for probabilistic clustering and classification.,Víctor Medina,Researcher at the Superintendency of Banks and Financial Insti...,https://www.datacamp.com/courses/mixture-models-in-r
Network Science in R - A Tidy Approach,Learn how to analyze and visualize network data in the R programming language using the tidyverse approach.,Massimo Franceschet,Professor of Data Science at the University of Udine (Italy),https://www.datacamp.com/courses/network-science-in-r-a-tidy-approach
Support Vector Machines in R,"This course will introduce the support vector machine (SVM) using an intuitive, visual approach.",Kailash Awati,Senior Lecturer at University of Technology Sydney.,https://www.datacamp.com/courses/support-vector-machines-in-r
Interactive Maps with leaflet in R,Learn how to produce interactive web maps with ease using leaflet.,Rich Majerus,Assistant Vice President at Colby College,https://www.datacamp.com/courses/interactive-maps-with-leaflet-in-r
Analyzing Election and Polling Data in R,"Learn R for data science by wrangling, visualizing, and modeling political data like polls and election results.",G Elliott Morris,Data Journalist,https://www.datacamp.com/courses/analyzing-election-and-polling-data-in-r
A/B Testing in R,"Learn A/B testing: including hypothesis testing, experimental design, and confounding variables.",Page Piccinini,Senior Data Scientist at Classy,https://www.datacamp.com/courses/ab-testing-in-r
Analyzing US Census Data in R,Learn to rapidly visualize and explore demographic data from the United States Census Bureau using tidyverse tools.,Kyle Walker,Geography professor at TCU and spatial data science consultant,https://www.datacamp.com/courses/analyzing-us-census-data-in-r
Dealing With Missing Data in R,"Make it easy to visualise, explore, and impute missing data with naniar, a tidyverse friendly approach to missing data.",Nicholas Tierney,Statistician,https://www.datacamp.com/courses/dealing-with-missing-data-in-r
Financial Analytics in R,Learn how to speak the language (and do the math!) of corporate finance to pitch your next great business idea.,Emily Riederer,Analytics Manager,https://www.datacamp.com/courses/financial-analytics-in-r
Interactive Data Visualization with rbokeh,Learn rbokeh: a visualization library for interactive web-based plots.,Omayma Said,Data Scientist,https://www.datacamp.com/courses/interactive-data-visualization-with-rbokeh
Machine Learning in the Tidyverse,"Leverage the tools in the tidyverse to generate, explore and evaluate machine learning models.",Dmitriy Gorenshteyn,Lead Data Scientist at Memorial Sloan Kettering Cancer Center,https://www.datacamp.com/courses/machine-learning-in-the-tidyverse
Predictive Analytics using Networked Data in R,Learn to predict labels of nodes in networks using network learning and by extracting descriptive features from the n...,Maria Oskarsdottir,Post-doctoral Researcher,https://www.datacamp.com/courses/predictive-analytics-using-networked-data-in-r
Designing and Analyzing Clinical Trials in R,"In this course you will gain an overview clinical trial designs, determine the numbers of patients needed and conduct...",Tamuno Alfred,PhD. Biostatistician,https://www.datacamp.com/courses/designing-and-analyzing-clinical-trials-in-r
Single-Cell RNA-Seq Workflows in R,"Analyze single-cell RNA-Seq data using normalization, dimensionality reduction, clustering and differential expression.",Fanny Perraudeau,"Senior Data Scientist, Whole Biome",https://www.datacamp.com/courses/single-cell-rna-seq-workflows-in-r
Linear Algebra for Data Science in R,"This course is an introduction to linear algebra, one of the most important mathematical topics underpinning data sci...",Eric Eager,Data Scientist at Pro Football Focus,https://www.datacamp.com/courses/linear-algebra-for-data-science-in-r
Generalized Linear Models in R,The Generalized Linear Model course expands your regression toolbox to include logistic and Poisson regression.,Richard Erickson,Quantitative Ecologist,https://www.datacamp.com/courses/generalized-linear-models-in-r
